Dato	Millis	Temp	Presion	AejeX	AejeY	AejeZ	GejeX	GejeY	GejeZ	MejeX	MejeY	MejeZ	Altura	AltMediaMovil	Pendiente
2391	122124	22,2	76997	-0,15	-0,19	0,96	9,25	-0,39	12,96	-0,05	-0,06	-0,03	2373,97	2374	2374
2392	122181	22,2	76997	-0,13	-0,22	0,97	9,25	-0,39	12,97	-0,05	-0,06	-0,03	2373,97	2374	2374
2393	122228	22,2	76997	-0,13	-0,18	0,91	9,26	-0,39	12,97	-0,04	-0,06	-0,03	2373,97	2374	2374
2394	122279	22,2	76997	-0,1	-0,2	0,88	9,26	-0,39	12,97	-0,05	-0,06	-0,03	2373,97	2374	2374
2395	122327	22,2	77003	-0,16	-0,2	0,88	9,27	-0,4	12,98	-0,04	-0,06	-0,03	2373,3	2374	2374
2396	122373	22,2	77000	-0,09	-0,17	0,99	9,27	-0,39	12,98	-0,05	-0,06	-0,03	2373,64	2374	2374
2397	122419	22,2	76994	-0,1	-0,15	0,93	9,27	-0,4	12,99	-0,04	-0,06	-0,03	2374,31	2374	2374
2398	122471	22,2	77005	-0,14	-0,19	0,98	9,28	-0,4	12,99	-0,04	-0,06	-0,03	2373,07	2374	2374
2399	122517	22,2	76990	-0,12	-0,2	0,92	9,28	-0,4	12,99	-0,05	-0,06	-0,03	2374,76	2374	2374
2400	122563	22,2	76988	-0,19	-0,16	0,84	9,28	-0,4	12,99	-0,05	-0,06	-0,03	2374,98	2374	2374
2401	122609	22,2	76991	-0,12	-0,2	0,92	9,29	-0,4	12,99	-0,04	-0,06	-0,03	2374,65	2374	2374
2402	122655	22,2	76999	-0,14	-0,24	0,91	9,29	-0,34	13	-0,05	-0,06	-0,03	2373,75	2374	2374
2403	122707	22,2	76997	-0,17	-0,2	0,94	9,3	-0,29	13,01	-0,05	-0,06	-0,03	2373,97	2374	2374
2404	122754	22,2	76991	-0,2	-0,16	0,96	9,3	-0,24	13,02	-0,04	-0,06	-0,03	2374,65	2374	2374
2405	122800	22,2	76997	-0,14	-0,16	0,9	9,31	-0,19	13,03	-0,05	-0,06	-0,03	2373,97	2374	2374
2406	122846	22,2	76994	-0,16	-0,23	0,8	9,32	-0,19	13,03	-0,04	-0,06	-0,03	2374,31	2374	2374
2407	122893	22,2	77002	-0,1	-0,17	0,88	9,32	-0,19	13,03	-0,05	-0,06	-0,03	2373,41	2374	2374
2408	122944	22,2	76994	-0,12	-0,14	0,92	9,33	-0,19	13,04	-0,05	-0,06	-0,03	2374,31	2374	2374
2409	122991	22,2	77000	-0,19	-0,13	0,96	9,33	-0,19	13,05	-0,05	-0,06	-0,02	2373,64	2374	2374
2410	123037	22,2	77011	-0,1	-0,25	0,94	9,34	-0,19	13,05	-0,04	-0,06	-0,03	2372,4	2374	2374
2411	123083	22,2	77005	-0,1	-0,19	0,98	9,34	-0,19	13,06	-0,05	-0,06	-0,03	2373,07	2374	2374
2412	123134	22,2	77000	-0,12	-0,18	0,9	9,35	-0,2	13,07	-0,05	-0,06	-0,03	2373,64	2374	2374
2413	123187	22,2	76991	-0,19	-0,23	0,9	9,35	-0,2	13,07	-0,05	-0,06	-0,03	2374,65	2374	2374
2414	123233	22,2	76994	-0,25	-0,13	0,86	9,35	-0,23	13,08	-0,05	-0,06	-0,03	2374,31	2374	2374
2415	123279	22,2	77000	-0,18	-0,2	0,9	9,35	-0,23	13,08	-0,05	-0,06	-0,03	2373,64	2374	2374
2416	123325	22,2	76991	-0,06	-0,21	0,84	9,36	-0,23	13,08	-0,04	-0,06	-0,03	2374,65	2374	2374
2417	123377	22,2	77000	-0,13	-0,21	1	9,36	-0,23	13,09	-0,04	-0,06	-0,03	2373,64	2374	2374
2418	123429	22,2	77011	-0,12	-0,25	0,88	9,37	-0,23	13,09	-0,05	-0,06	-0,03	2372,4	2374	2374
2419	123475	22,2	76988	-0,11	-0,18	0,89	9,37	-0,23	13,1	-0,05	-0,06	-0,03	2374,98	2374	2374
2420	123534	22,2	76997	-0,09	-0,17	0,97	9,37	-0,24	13,11	-0,05	-0,06	-0,03	2373,97	2374	2374
2421	123587	22,2	76994	-0,18	-0,23	0,93	9,38	-0,24	13,11	-0,04	-0,06	-0,03	2374,31	2374	2374
2422	123633	22,2	76994	-0,17	-0,17	1,05	9,38	-0,24	13,12	-0,05	-0,06	-0,03	2374,31	2374	2374
2423	123685	22,2	77000	-0,1	-0,2	0,89	9,38	-0,24	13,12	-0,04	-0,06	-0,03	2373,64	2374	2374
2424	123731	22,2	76986	-0,07	-0,22	1,02	9,38	-0,24	13,13	-0,05	-0,06	-0,03	2375,21	2374	2374
2425	123778	22,2	76988	-0,07	-0,25	0,89	9,39	-0,21	13,13	-0,05	-0,06	-0,03	2374,98	2374	2374
2426	123824	22,2	76994	-0,11	-0,2	0,98	9,39	-0,21	13,13	-0,05	-0,06	-0,03	2374,31	2374	2374
2427	123870	22,2	76985	-0,09	-0,2	0,96	9,39	-0,21	13,14	-0,04	-0,06	-0,02	2375,32	2374	2374
2428	123922	22,2	77005	-0,14	-0,2	0,98	9,4	-0,2	13,16	-0,05	-0,06	-0,03	2373,07	2375	2375
2429	123968	22,2	77000	-0,12	-0,23	0,96	9,4	-0,21	13,17	-0,05	-0,06	-0,03	2373,64	2374	2374
2430	124014	22,2	76996	-0,07	-0,11	0,91	9,41	-0,21	13,17	-0,05	-0,06	-0,03	2374,09	2374	2374
